logT  -8.0   -7.5   -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5   -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0
5.25 -0.403 -0.386 -0.367 -0.342 -0.304 -0.244 -0.137  0.045  0.324  0.695  1.129  1.586  2.039  2.488  2.924  3.330  3.670  3.932  4.134
5.30 -0.418 -0.400 -0.377 -0.348 -0.309 -0.249 -0.146  0.026  0.290  0.638  1.045  1.474  1.901  2.326  2.745  3.142  3.485  3.762  3.981
5.35 -0.443 -0.429 -0.409 -0.380 -0.340 -0.279 -0.179 -0.012  0.239  0.567  0.949  1.353  1.757  2.162  2.567  2.960  3.308  3.598  3.832
5.40 -0.456 -0.447 -0.432 -0.409 -0.373 -0.315 -0.221 -0.062  0.180  0.493  0.853  1.234  1.617  2.006  2.400  2.788  3.141  3.444  3.687
5.45 -0.464 -0.459 -0.449 -0.432 -0.402 -0.350 -0.260 -0.110  0.120  0.421  0.763  1.123  1.489  1.861  2.246  2.630  2.988  3.298  3.549
5.50 -0.466 -0.464 -0.459 -0.448 -0.427 -0.386 -0.306 -0.165  0.055  0.347  0.677  1.021  1.370  1.730  2.105  2.486  2.848  3.162  3.421
5.55 -0.468 -0.467 -0.464 -0.458 -0.444 -0.413 -0.348 -0.222 -0.013  0.272  0.594  0.926  1.263  1.612  1.979  2.356  2.719  3.036  3.302
5.60 -0.469 -0.468 -0.467 -0.462 -0.453 -0.431 -0.381 -0.276 -0.085  0.193  0.515  0.842  1.170  1.509  1.867  2.239  2.601  2.917  3.194
5.65 -0.470 -0.469 -0.467 -0.464 -0.457 -0.441 -0.404 -0.322 -0.160  0.102  0.428  0.760  1.087  1.418  1.767  2.133  2.492  2.809  3.098
5.70 -0.470 -0.469 -0.468 -0.465 -0.460 -0.447 -0.417 -0.351 -0.217  0.019  0.340  0.681  1.010  1.338  1.679  2.039  2.392  2.710  3.014
5.75 -0.470 -0.470 -0.469 -0.466 -0.461 -0.451 -0.427 -0.374 -0.261 -0.049  0.260  0.603  0.937  1.263  1.599  1.953  2.300  2.620  2.938
5.80 -0.470 -0.470 -0.469 -0.467 -0.463 -0.453 -0.432 -0.387 -0.290 -0.102  0.188  0.528  0.864  1.191  1.525  1.874  2.215  2.537  2.866
5.85 -0.471 -0.470 -0.469 -0.468 -0.464 -0.455 -0.436 -0.396 -0.312 -0.144  0.127  0.459  0.797  1.126  1.459  1.803  2.137  2.461  2.796
5.90 -0.470 -0.470 -0.469 -0.468 -0.465 -0.458 -0.441 -0.405 -0.330 -0.179  0.072  0.396  0.737  1.069  1.402  1.736  2.063  2.390  2.729
5.95 -0.469 -0.469 -0.468 -0.467 -0.465 -0.458 -0.444 -0.411 -0.342 -0.205  0.030  0.344  0.687  1.022  1.352  1.674  1.993  2.321  2.665
6.00 -0.469 -0.468 -0.467 -0.465 -0.463 -0.458 -0.445 -0.416 -0.352 -0.223 -0.001  0.306  0.649  0.984  1.305  1.612  1.923  2.257  2.609
6.10 -0.471 -0.469 -0.466 -0.463 -0.457 -0.450 -0.439 -0.416 -0.366 -0.258 -0.058  0.238  0.580  0.906  1.196  1.479  1.788  2.136  2.508
6.20 -0.472 -0.471 -0.470 -0.468 -0.462 -0.452 -0.434 -0.407 -0.357 -0.261 -0.085  0.185  0.501  0.791  1.051  1.334  1.658  2.025  2.407
6.30 -0.472 -0.472 -0.472 -0.471 -0.469 -0.463 -0.449 -0.418 -0.362 -0.263 -0.099  0.133  0.395  0.646  0.901  1.193  1.539  1.921  2.307
6.40 -0.473 -0.473 -0.473 -0.472 -0.471 -0.469 -0.461 -0.442 -0.394 -0.300 -0.150  0.048  0.266  0.492  0.755  1.068  1.431  1.825  2.195
6.50 -0.474 -0.474 -0.474 -0.473 -0.473 -0.471 -0.467 -0.455 -0.423 -0.351 -0.223 -0.055  0.137  0.358  0.628  0.956  1.336  1.726  2.081
6.60 -0.475 -0.474 -0.474 -0.474 -0.474 -0.473 -0.470 -0.461 -0.439 -0.387 -0.288 -0.144  0.032  0.243  0.515  0.857  1.246  1.626  1.965
6.70 -0.476 -0.476 -0.476 -0.475 -0.475 -0.475 -0.472 -0.465 -0.448 -0.409 -0.332 -0.211 -0.052  0.156  0.430  0.772  1.156  1.525  1.849
6.80 -0.477 -0.477 -0.477 -0.477 -0.477 -0.476 -0.474 -0.469 -0.455 -0.424 -0.362 -0.262 -0.117  0.085  0.354  0.694  1.068  1.423  1.730
6.90 -0.478 -0.478 -0.478 -0.478 -0.478 -0.478 -0.476 -0.472 -0.460 -0.435 -0.384 -0.300 -0.167  0.027  0.290  0.620  0.981  1.315  1.589
7.00 -0.480 -0.480 -0.480 -0.480 -0.480 -0.480 -0.478 -0.474 -0.465 -0.443 -0.400 -0.326 -0.204 -0.020  0.232  0.548  0.892  1.207  1.458
7.10 -0.483 -0.483 -0.483 -0.483 -0.483 -0.482 -0.481 -0.477 -0.468 -0.448 -0.413 -0.345 -0.230 -0.061  0.175  0.475  0.803  1.091  1.282
