,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
0,0.0,0.0,1.401823304437244,7055094.639587926,1342793078456327.0,0.0,0.012872809811486686,0.268,0.4,0.4,c
1,3153569406244304.0,81284.33111281015,1.401823304437244,7055094.639584111,1342793078454512.5,40595299193905.92,0.012872809811486686,0.268,0.4,0.4,c
2,9.945000000000001e+30,11919946354.07063,1.401823304437244,6973563.96863643,1303772935366443.8,1.280200935752351e+29,0.012872809811486686,0.268,0.4,0.4,c
3,9.944999999999974e+30,11919946354.07063,1.366208698316342,6973563.96863643,1293500000654872.2,1.280200935752351e+29,0.011807655208828646,1.167528154826062,0.4,0.4,c
4,1.0051586780299059e+31,11960392570.257055,1.3674921526945125,6966767.602457373,1293430336099586.2,3.647593988151818e+29,0.011758859422301525,1.1687413245841,0.4,0.4,c
5,1.0159315917735937e+31,12008229047.589125,1.3697800337128543,6954967.807346573,1293359924905723.0,5.666376415876362e+29,0.011674916735470697,1.1703397745600348,0.4,0.4,c
6,1.0268199655665822e+31,12060997885.514874,1.3724742825002791,6941182.546216782,1293288759071089.8,7.503751060436039e+29,0.011577447336720222,1.17213596285611,0.4,0.4,c
7,1.0378250368663872e+31,12117710243.773191,1.375393215501106,6926333.229717375,1293216830507730.0,9.216482723508823e+29,0.011473093461396498,1.1740670242287548,0.4,0.4,c
8,1.0489480563931295e+31,12177778042.662668,1.3784555254361741,6910833.683863885,1293144131041003.5,1.0834280840069707e+30,0.011364848971354828,1.1761012602102268,0.4,0.4,c
9,1.060190288271654e+31,12240797582.576015,1.3816182372007302,6894903.360204819,1293070652408656.8,1.2375494498788071e+30,0.011254305109010177,1.178219611379733,0.4,0.4,c
10,1.0715530101752471e+31,12306469031.115166,1.384856296915035,6878670.670350912,1292996386259885.0,1.385256791495013e+30,0.011142394433403471,1.1804093450669244,0.4,0.4,c
11,1.08303751347081e+31,12374558215.631735,1.3881541150979595,6862215.894960184,1292921324154382.8,1.527447398673979e+30,0.011029700692639673,1.1826613274769755,0.4,0.4,c
